,loss,acc,val_loss,val_acc
0,0.9993568658828735,0.640618085861206,2.37601637840271,0.6622340679168701
1,0.5899160504341125,0.7952092289924622,1.7719626426696777,0.7207446694374084
2,0.3851720094680786,0.8700280785560608,3.320834159851074,0.6496010422706604
3,0.31896865367889404,0.8997486233711243,3.3600831031799316,0.6609042286872864
4,0.22831764817237854,0.922889232635498,1.0471141338348389,0.7952127456665039
5,0.2031753808259964,0.935753345489502,1.0687156915664673,0.7865691781044006
6,0.20038330554962158,0.9506136178970337,5.272425174713135,0.5006648898124695
7,0.18206869065761566,0.9446991086006165,1.33431077003479,0.8244680762290955
8,0.10731740295886993,0.967987596988678,0.734473705291748,0.853723406791687
9,0.11341007798910141,0.9676918387413025,0.6290425062179565,0.865026593208313
%%Elapsed Time: 6.73m. 
